,geometry,FID,Activity,ActivityDa,ComName,MonYr,FinYr,Detection1,Date_S
255,POINT Z (153.114503 -26.39482499924794 0),255,Treatment,3/09/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
256,POINT Z (153.1185330000001 -26.37860499924829 0),256,Treatment,3/09/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
257,POINT Z (153.4616120000001 -27.63874999922395 0),257,Infestation,20/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
258,POINT Z (153.4640790000001 -27.63895599922393 0),258,Infestation,20/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
259,POINT Z (153.4583720000001 -27.66499899922341 0),259,Infestation,20/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
260,POINT Z (153.4574650000001 -27.67052599922335 0),260,Infestation,20/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
261,POINT Z (153.537228 -27.44027499922766 0),261,Infestation,23/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
262,POINT Z (153.5295530000001 -27.45023799922751 0),262,Infestation,23/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
263,POINT Z (153.509142 -27.50086199922651 0),263,Infestation,23/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
264,POINT Z (153.5101370000001 -27.5009349992265 0),264,Infestation,23/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
265,POINT Z (153.485667 -27.56365999922532 0),265,Infestation,23/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
266,POINT Z (153.482432 -27.57360499922514 0),266,Infestation,23/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
267,POINT Z (153.4815900000001 -27.57477699922512 0),267,Infestation,23/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
268,POINT Z (153.4209390000001 -27.19357999923237 0),268,Infestation,19/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
269,POINT Z (153.419165 -27.20842999923205 0),269,Infestation,19/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
270,POINT Z (153.4162510000001 -27.2392629992315 0),270,Infestation,19/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
271,POINT Z (153.416873 -27.24551599923139 0),271,Infestation,19/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
272,POINT Z (153.4248610000001 -27.30317699923028 0),272,Infestation,19/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
273,POINT Z (153.1061030000001 -25.91972999925755 0),273,Infestation,30/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
274,POINT Z (153.1162750000001 -25.93055999925732 0),274,Infestation,30/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
275,POINT Z (153.117032 -25.93238899925728 0),275,Infestation,30/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
276,POINT Z (153.116124 -25.93071399925728 0),276,Infestation,30/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
277,POINT Z (153.1161990000001 -25.93076199925732 0),277,Infestation,30/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
278,POINT Z (153.058358 -25.86596499925858 0),278,Infestation,30/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
279,POINT Z (153.1030050000001 -25.91724999925755 0),279,Infestation,30/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
280,POINT Z (153.107932 -25.92247299925744 0),280,Infestation,30/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
281,POINT Z (153.0745350000001 -25.84407799925904 0),281,Infestation,31/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
282,POINT Z (153.0750770000001 -25.84914199925894 0),282,Infestation,31/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
283,POINT Z (153.5168450000001 -27.48470299922682 0),283,Infestation,5/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
284,POINT Z (153.511748 -27.49518799922663 0),284,Infestation,5/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
285,POINT Z (153.4877250000001 -27.55991699922541 0),285,Infestation,7/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
286,POINT Z (153.48598 -27.56261999922534 0),286,Infestation,7/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
287,POINT Z (153.4840320000001 -27.56999699922522 0),287,Infestation,7/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
288,POINT Z (153.4821320000001 -27.57338499922514 0),288,Infestation,7/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
289,POINT Z (153.45726 -27.66876999922338 0),289,Infestation,6/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
290,POINT Z (153.456315 -27.68242499922309 0),290,Infestation,6/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
291,POINT Z (153.4605200000001 -27.39259299922857 0),291,Infestation,8/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
292,POINT Z (153.5101370000001 -27.5009349992265 0),292,Treatment,29/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
293,POINT Z (153.485667 -27.56365999922532 0),293,Treatment,29/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
294,POINT Z (153.482432 -27.57360499922514 0),294,Treatment,29/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
295,POINT Z (153.4815900000001 -27.57477699922512 0),295,Treatment,29/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
296,POINT Z (153.4209390000001 -27.19357999923237 0),296,Treatment,26/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
297,POINT Z (153.419165 -27.20842999923205 0),297,Treatment,26/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
298,POINT Z (153.4162510000001 -27.2392629992315 0),298,Treatment,26/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
299,POINT Z (153.416873 -27.24551599923139 0),299,Treatment,26/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
300,POINT Z (153.4248610000001 -27.30317699923028 0),300,Treatment,26/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
301,POINT Z (153.4616120000001 -27.63874999922395 0),301,Treatment,27/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
302,POINT Z (153.4640790000001 -27.63895599922393 0),302,Treatment,27/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
303,POINT Z (153.4583720000001 -27.66499899922341 0),303,Treatment,27/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
304,POINT Z (153.4574650000001 -27.67052599922335 0),304,Treatment,27/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
305,POINT Z (153.537228 -27.44027499922766 0),305,Treatment,29/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
306,POINT Z (153.5295530000001 -27.45023799922751 0),306,Treatment,29/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
307,POINT Z (153.509142 -27.50086199922651 0),307,Treatment,29/04/2012,Bitou bush,,<2012 - 2013,<Null>,Jan12_Jun12
308,POINT Z (153.4372850000001 -28.03856299921654 0),308,Treatment,24/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
309,POINT Z (153.4449930000001 -28.06919699921595 0),309,Treatment,24/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
310,POINT Z (153.4619300000001 -28.09775999921544 0),310,Treatment,24/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
311,POINT Z (153.4620620000001 -28.09783499921542 0),311,Treatment,24/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
312,POINT Z (153.47902 -28.12579499921491 0),312,Treatment,24/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
313,POINT Z (153.4792150000001 -28.12657299921491 0),313,Treatment,24/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
314,POINT Z (153.536502 -28.16595499921419 0),314,Treatment,24/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
315,POINT Z (153.5435480000001 -28.16665499921417 0),315,Treatment,24/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
316,POINT Z (153.0590520000001 -25.86684299925857 0),316,Treatment,30/10/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
317,POINT Z (153.5023 -27.42142199922804 0),317,Treatment,8/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
318,POINT Z (153.420693 -27.1952599992323 0),318,Treatment,12/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
319,POINT Z (153.4167480000001 -27.23898199923147 0),319,Treatment,13/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
320,POINT Z (153.416545 -27.23727299923149 0),320,Treatment,13/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
321,POINT Z (153.4168930000001 -27.23663199923154 0),321,Treatment,13/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
322,POINT Z (153.416905 -27.23621699923156 0),322,Treatment,13/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
323,POINT Z (153.4172520000001 -27.24737799923131 0),323,Treatment,13/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
324,POINT Z (153.417268 -27.24945699923131 0),324,Treatment,13/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
325,POINT Z (153.417193 -27.2553579992312 0),325,Treatment,13/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
326,POINT Z (153.429758 -27.31258799923011 0),326,Treatment,13/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
327,POINT Z (153.4378330000001 -27.3264499992298 0),327,Treatment,13/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
328,POINT Z (153.437855 -27.32744199922978 0),328,Treatment,13/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
329,POINT Z (153.438348 -27.32706199922984 0),329,Treatment,13/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
330,POINT Z (153.4381900000001 -27.32799999922978 0),330,Treatment,13/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
331,POINT Z (153.4390950000001 -27.32853699922979 0),331,Treatment,13/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
332,POINT Z (153.433788 -27.32080499922996 0),332,Treatment,14/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
333,POINT Z (153.43821 -27.32717499922984 0),333,Treatment,14/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
334,POINT Z (153.428805 -27.35664199922922 0),334,Treatment,14/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
335,POINT Z (153.4281400000001 -27.36155699922917 0),335,Treatment,14/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
336,POINT Z (153.421003 -27.35953499922921 0),336,Treatment,14/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
337,POINT Z (153.424168 -27.36293299922915 0),337,Treatment,14/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
338,POINT Z (153.4261750000001 -27.73989699922203 0),338,Treatment,11/12/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
