,geometry,FID,Activity,ActivityDa,ComName,MonYr,FinYr,Detection1,Date_S
627,POINT Z (153.107832 -25.92339199925744 0),627,Infestation,16/06/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
628,POINT Z (153.5309450000001 -27.44735599922755 0),628,Infestation,29/05/2009,Bitou bush,,<2012 - 2013,<Null>,Jan09_Jun09
629,POINT Z (153.485842 -27.5375459992258 0),629,Infestation,5/12/2011,Bitou bush,,<2012 - 2013,<Null>,July11_Dec11
630,POINT Z (153.516281 -27.48433899922682 0),630,Infestation,17/05/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
631,POINT Z (153.4814120000001 -27.57346299922516 0),631,Infestation,17/11/2010,Bitou bush,,<2012 - 2013,<Null>,July10_Dec10
632,POINT Z (153.1285260000001 -26.85169799923897 0),632,Infestation,16/04/2008,Bitou bush,,<=2008,<Null>,<2009
633,POINT Z (153.4826880000001 -27.56272399922537 0),633,Infestation,6/01/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
634,POINT Z (153.4748880000001 -27.5959699992247 0),634,Infestation,6/04/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
635,POINT Z (153.4865950000001 -27.53658999922585 0),635,Infestation,28/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
636,POINT Z (153.4820490000001 -27.57395499922517 0),636,Infestation,17/11/2010,Bitou bush,,<2012 - 2013,<Null>,July10_Dec10
637,POINT Z (153.5377570000001 -27.43927899922769 0),637,Infestation,15/11/2010,Bitou bush,,<2012 - 2013,<Null>,July10_Dec10
638,POINT Z (153.4859680000001 -27.53758599922582 0),638,Infestation,5/12/2011,Bitou bush,,<2012 - 2013,<Null>,July11_Dec11
639,POINT Z (153.4992060000001 -28.14672999921454 0),639,Infestation,22/01/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
640,POINT Z (153.444569 -28.06994799921596 0),640,Infestation,22/01/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
641,POINT Z (153.529614 -27.45015699922748 0),641,Infestation,25/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
642,POINT Z (153.4782290000001 -27.57889799922505 0),642,Infestation,6/03/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
643,POINT Z (153.482392 -27.56298899922538 0),643,Infestation,6/01/2009,Bitou bush,,<2012 - 2013,<Null>,Jan09_Jun09
644,POINT Z (153.515926 -27.48430099922681 0),644,Infestation,30/05/2009,Bitou bush,,<2012 - 2013,<Null>,Jan09_Jun09
645,POINT Z (153.5159090000001 -27.48424099922685 0),645,Infestation,30/05/2009,Bitou bush,,<2012 - 2013,<Null>,Jan09_Jun09
646,POINT Z (153.4771300000001 -27.59036299922482 0),646,Infestation,17/11/2010,Bitou bush,,<2012 - 2013,<Null>,July10_Dec10
647,POINT Z (153.4823630000001 -27.57343899922518 0),647,Infestation,6/01/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
648,POINT Z (153.537269 -27.43881299922768 0),648,Infestation,5/01/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
649,POINT Z (153.4956110000001 -27.53806099922581 0),649,Infestation,6/01/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
650,POINT Z (153.500178 -27.52625899922604 0),650,Infestation,31/05/2009,Bitou bush,,<2012 - 2013,<Null>,Jan09_Jun09
651,POINT Z (153.5007810000001 -27.51867699922616 0),651,Infestation,28/05/2009,Bitou bush,,<2012 - 2013,<Null>,Jan09_Jun09
652,POINT Z (153.482655 -27.57335699922517 0),652,Infestation,6/01/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
653,POINT Z (153.4875490000001 -27.55806899922544 0),653,Infestation,6/01/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
654,POINT Z (153.411882 -27.83868199922021 0),654,Infestation,26/05/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
655,POINT Z (153.470769 -27.61230599922443 0),655,Infestation,18/11/2010,Bitou bush,,<2012 - 2013,<Null>,July10_Dec10
656,POINT Z (153.4863640000001 -27.53749399922582 0),656,Infestation,5/12/2011,Bitou bush,,<2012 - 2013,<Null>,July11_Dec11
657,POINT Z (153.493739 -27.54267799922572 0),657,Infestation,6/01/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
658,POINT Z (153.5297720000001 -27.44888899922753 0),658,Infestation,29/05/2009,Bitou bush,,<2012 - 2013,<Null>,Jan09_Jun09
659,POINT Z (153.411547 -27.83748599922025 0),659,Infestation,26/05/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
660,POINT Z (153.088871 -25.90047399925788 0),660,Infestation,16/04/2008,Bitou bush,,<=2008,<Null>,<2009
661,POINT Z (153.457391 -27.67305399922327 0),661,Infestation,18/11/2010,Bitou bush,,<2012 - 2013,<Null>,July10_Dec10
662,POINT Z (153.5159540000001 -27.48396399922687 0),662,Infestation,17/05/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
663,POINT Z (153.4992120000001 -27.52889399922598 0),663,Infestation,31/05/2009,Bitou bush,,<2012 - 2013,<Null>,Jan09_Jun09
664,POINT Z (153.485939 -27.53645299922587 0),664,Infestation,28/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
665,POINT Z (153.509259 -27.5015589992265 0),665,Infestation,17/05/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
666,POINT Z (153.5316 -27.44689099922754 0),666,Infestation,29/05/2009,Bitou bush,,<2012 - 2013,<Null>,Jan09_Jun09
667,POINT Z (153.496124 -27.53718599922581 0),667,Infestation,6/01/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
668,POINT Z (153.509324 -27.5016949992265 0),668,Infestation,31/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
669,POINT Z (153.475857 -27.59458599922476 0),669,Infestation,6/04/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
670,POINT Z (153.51607 -27.48403899922685 0),670,Infestation,30/05/2009,Bitou bush,,<2012 - 2013,<Null>,Jan09_Jun09
671,POINT Z (153.4823140000001 -27.57378199922516 0),671,Infestation,6/01/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
672,POINT Z (153.107381 -25.92261999925746 0),672,Infestation,16/06/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
673,POINT Z (153.477971 -27.5885439992249 0),673,Infestation,18/05/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
674,POINT Z (153.5220870000001 -27.47014999922711 0),674,Infestation,30/05/2009,Bitou bush,,<2012 - 2013,<Null>,Jan09_Jun09
675,POINT Z (153.4821430000001 -27.57393599922516 0),675,Infestation,6/01/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
676,POINT Z (153.424295 -27.85863699921983 0),676,Infestation,6/02/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
677,POINT Z (153.5070360000001 -27.50772599922639 0),677,Infestation,31/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
678,POINT Z (153.4860990000001 -27.54071299922576 0),678,Infestation,5/12/2011,Bitou bush,,<2012 - 2013,<Null>,July11_Dec11
679,POINT Z (153.09936 -25.91072999925771 0),679,Infestation,16/06/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
680,POINT Z (153.4559250000001 -27.68375499922306 0),680,Infestation,18/11/2010,Bitou bush,,<2012 - 2013,<Null>,July10_Dec10
681,POINT Z (153.457268 -27.66862599922334 0),681,Infestation,6/03/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
682,POINT Z (153.493686 -27.54350599922572 0),682,Infestation,5/12/2011,Bitou bush,,<2012 - 2013,<Null>,July11_Dec11
683,POINT Z (153.4817750000001 -27.57429599922516 0),683,Infestation,6/01/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
684,POINT Z (153.540257 -27.43820499922769 0),684,Infestation,16/05/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
685,POINT Z (153.5369790000001 -27.43859799922773 0),685,Infestation,5/01/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
686,POINT Z (153.533945 -27.44864299922752 0),686,Infestation,31/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
687,POINT Z (153.457293 -27.66978499922335 0),687,Infestation,18/05/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
688,POINT Z (153.5368030000001 -27.43853999922771 0),688,Infestation,5/01/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
689,POINT Z (153.540612 -27.43684599922775 0),689,Infestation,5/01/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
690,POINT Z (153.4826880000001 -27.56272199922538 0),690,Infestation,19/05/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
691,POINT Z (153.5186630000001 -27.4794129992269 0),691,Infestation,30/05/2009,Bitou bush,,<2012 - 2013,<Null>,Jan09_Jun09
692,POINT Z (153.516202 -27.48437999922684 0),692,Infestation,31/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
693,POINT Z (153.0977700000001 -25.91754999925758 0),693,Infestation,18/06/2008,Bitou bush,,<=2008,<Null>,<2009
694,POINT Z (153.4918270000001 -27.52789799922601 0),694,Infestation,5/12/2011,Bitou bush,,<2012 - 2013,<Null>,July11_Dec11
695,POINT Z (153.4573170000001 -27.67305899922327 0),695,Infestation,6/03/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
696,POINT Z (153.462435 -27.64497299922382 0),696,Infestation,18/11/2010,Bitou bush,,<2012 - 2013,<Null>,July10_Dec10
697,POINT Z (153.5402340000001 -27.43874299922769 0),697,Infestation,16/05/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
698,POINT Z (153.112752 -25.92975299925732 0),698,Treatment,2/12/2014,Bitou bush,2014-12,2014 - 2015,<Null>,July14_Dec14
699,POINT Z (153.10621 -25.91980799925751 0),699,Treatment,3/12/2014,Bitou bush,2014-12,2014 - 2015,<Null>,July14_Dec14
700,POINT Z (153.097486 -25.91107199925768 0),700,Treatment,3/12/2014,Bitou bush,2014-12,2014 - 2015,<Null>,July14_Dec14
701,POINT Z (153.058393 -25.86662999925859 0),701,Treatment,1/12/2014,Bitou bush,2014-12,2014 - 2015,<Null>,July14_Dec14
702,POINT Z (153.3642020000001 -27.14115799923333 0),702,Treatment,23/03/2015,Bitou bush,2015-03,2014 - 2015,<Null>,Jan15_Jun15
703,POINT Z (153.4165850000001 -27.23922299923149 0),703,Treatment,25/03/2015,Bitou bush,2015-03,2014 - 2015,<Null>,Jan15_Jun15
704,POINT Z (153.538527 -27.43910799922767 0),704,Treatment,11/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
705,POINT Z (153.529215 -27.44929799922751 0),705,Treatment,13/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
706,POINT Z (153.52936 -27.44966999922746 0),706,Treatment,13/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
707,POINT Z (153.529222 -27.45006699922748 0),707,Treatment,13/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
708,POINT Z (153.5219900000001 -27.46768199922712 0),708,Treatment,13/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
709,POINT Z (153.5139700000001 -27.4870769992268 0),709,Treatment,14/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
710,POINT Z (153.481852 -27.57410199922514 0),710,Treatment,14/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
711,POINT Z (153.4765200000001 -27.59276799922479 0),711,Treatment,26/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
712,POINT Z (153.4760100000001 -27.59255499922481 0),712,Treatment,26/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
713,POINT Z (153.4759650000001 -27.59257199922477 0),713,Treatment,26/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
714,POINT Z (153.463798 -27.63885999922391 0),714,Treatment,27/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
715,POINT Z (153.5185670000001 -27.47948499922695 0),715,Treatment,25/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
716,POINT Z (153.452131 -27.71662899922249 0),716,Treatment,26/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
717,POINT Z (153.4532390000001 -27.69958299922277 0),717,Treatment,26/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
718,POINT Z (153.4874910000001 -27.55886499922541 0),718,Treatment,27/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
719,POINT Z (153.4709280000001 -27.61243299922445 0),719,Treatment,27/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
720,POINT Z (153.5096480000001 -28.15712499921436 0),720,Treatment,29/07/2015,Bitou bush,2015-07,2015 - 2016,<Null>,July15_Dec15
721,POINT Z (153.4027420000001 -27.71845499922246 0),721,Treatment,20/08/2015,Bitou bush,2015-08,2015 - 2016,<Null>,July15_Dec15
722,POINT Z (153.424037 -27.74618299922191 0),722,Treatment,20/08/2015,Bitou bush,2015-08,2015 - 2016,<Null>,July15_Dec15
723,POINT Z (153.438205 -27.32718199922982 0),723,Treatment,21/10/2015,Bitou bush,2015-10,2015 - 2016,<Null>,July15_Dec15
724,POINT Z (153.4161600000001 -27.2371799992315 0),724,Treatment,19/10/2015,Bitou bush,2015-10,2015 - 2016,<Null>,July15_Dec15
725,POINT Z (153.4163880000001 -27.2372929992315 0),725,Treatment,19/10/2015,Bitou bush,2015-10,2015 - 2016,<Null>,July15_Dec15
726,POINT Z (153.415292 -27.23559299923156 0),726,Treatment,19/10/2015,Bitou bush,2015-10,2015 - 2016,<Null>,July15_Dec15
727,POINT Z (153.4152280000001 -27.23564299923154 0),727,Treatment,19/10/2015,Bitou bush,2015-10,2015 - 2016,<Null>,July15_Dec15
728,POINT Z (153.4150050000001 -27.23570199923157 0),728,Treatment,19/10/2015,Bitou bush,2015-10,2015 - 2016,<Null>,July15_Dec15
729,POINT Z (153.414968 -27.23574299923158 0),729,Treatment,19/10/2015,Bitou bush,2015-10,2015 - 2016,<Null>,July15_Dec15
730,POINT Z (153.41656 -27.23945699923152 0),730,Treatment,20/10/2015,Bitou bush,2015-10,2015 - 2016,<Null>,July15_Dec15
731,POINT Z (153.429847 -27.31363499923005 0),731,Treatment,21/10/2015,Bitou bush,2015-10,2015 - 2016,<Null>,July15_Dec15
732,POINT Z (153.3646170000001 -27.1280949992336 0),732,Treatment,21/10/2015,Bitou bush,2015-10,2015 - 2016,<Null>,July15_Dec15
733,POINT Z (153.5362680000001 -27.43968199922771 0),733,Treatment,2/11/2015,Bitou bush,2015-11,2015 - 2016,<Null>,July15_Dec15
734,POINT Z (153.4561650000001 -27.68275999922309 0),734,Treatment,5/11/2015,Bitou bush,2015-11,2015 - 2016,<Null>,July15_Dec15
735,POINT Z (153.474635 -27.59600499922472 0),735,Treatment,5/11/2015,Bitou bush,2015-11,2015 - 2016,<Null>,July15_Dec15
736,POINT Z (153.529838 -27.44959499922749 0),736,Treatment,2/11/2015,Bitou bush,2015-11,2015 - 2016,<Null>,July15_Dec15
737,POINT Z (153.4800300000001 -27.58077499922499 0),737,Treatment,4/11/2015,Bitou bush,2015-11,2015 - 2016,<Null>,July15_Dec15
738,POINT Z (153.4755080000001 -27.59391999922475 0),738,Treatment,4/11/2015,Bitou bush,2015-11,2015 - 2016,<Null>,July15_Dec15
739,POINT Z (153.456315 -27.68391799922311 0),739,Treatment,4/11/2015,Bitou bush,2015-11,2015 - 2016,<Null>,July15_Dec15
740,POINT Z (153.4749400000001 -27.59590999922475 0),740,Treatment,5/11/2015,Bitou bush,2015-11,2015 - 2016,<Null>,July15_Dec15
741,POINT Z (153.451227 -27.72054299922237 0),741,Treatment,5/11/2015,Bitou bush,2015-11,2015 - 2016,<Null>,July15_Dec15
742,POINT Z (153.1349100000001 -26.71925299924155 0),742,Infestation,3/02/2016,Bitou bush,2016-02,2015 - 2016,<Null>,Jan16_Jun16
743,POINT Z (153.4242800000001 -27.30012499923031 0),743,Infestation,13/04/2016,Bitou bush,2016-04,2015 - 2016,<Null>,Jan16_Jun16
744,POINT Z (153.4153570000001 -27.24031499923149 0),744,Infestation,13/04/2016,Bitou bush,2016-04,2015 - 2016,<Null>,Jan16_Jun16
745,POINT Z (153.094232 -26.16094699925261 0),745,Infestation,14/04/2016,Bitou bush,2016-04,2015 - 2016,<Null>,Jan16_Jun16
746,POINT Z (153.486312 -27.53644199922583 0),746,Infestation,11/05/2016,Bitou bush,2016-05,2015 - 2016,<Null>,Jan16_Jun16
747,POINT Z (153.531613 -27.44702199922756 0),747,Infestation,10/05/2016,Bitou bush,2016-05,2015 - 2016,<Null>,Jan16_Jun16
748,POINT Z (153.0684 -25.8124629992597 0),748,Infestation,17/05/2016,Bitou bush,2016-05,2015 - 2016,<Null>,Jan16_Jun16
749,POINT Z (153.068393 -25.81247999925971 0),749,Infestation,17/05/2016,Bitou bush,2016-05,2015 - 2016,<Null>,Jan16_Jun16
750,POINT Z (153.1042480000001 -25.9203929992575 0),750,Infestation,18/05/2016,Bitou bush,2016-05,2015 - 2016,<Null>,Jan16_Jun16
751,POINT Z (153.099407 -25.91072099925768 0),751,Infestation,18/05/2016,Bitou bush,2016-05,2015 - 2016,<Null>,Jan16_Jun16
752,POINT Z (153.532546 -27.44774299922753 0),752,Infestation,10/05/2016,Bitou bush,2016-05,2015 - 2016,<Null>,Jan16_Jun16
753,POINT Z (153.4769970000001 -27.59219499922482 0),753,Treatment,18/05/2016,Bitou bush,2016-05,2015 - 2016,<Null>,Jan16_Jun16
754,POINT Z (153.475942 -27.59252699922477 0),754,Infestation,12/05/2016,Bitou bush,2016-05,2015 - 2016,<Null>,Jan16_Jun16
755,POINT Z (153.509272 -27.50264999922646 0),755,Treatment,18/05/2016,Bitou bush,2016-05,2015 - 2016,<Null>,Jan16_Jun16
756,POINT Z (153.436105 -27.78780999922114 0),756,Treatment,6/06/2016,Bitou bush,2016-06,2015 - 2016,<Null>,Jan16_Jun16
757,POINT Z (153.512468 -27.49326999922667 0),757,InfestTreat,27/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
758,POINT Z (153.503142 -27.51848799922619 0),758,InfestTreat,27/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
759,POINT Z (153.4920520000001 -27.54681199922566 0),759,InfestTreat,27/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
760,POINT Z (153.487527 -27.55889799922544 0),760,InfestTreat,28/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
761,POINT Z (153.4800170000001 -27.580766999225 0),761,InfestTreat,28/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
762,POINT Z (153.477977 -27.58861499922488 0),762,InfestTreat,28/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
763,POINT Z (153.476227 -27.59364299922478 0),763,InfestTreat,28/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
764,POINT Z (153.475907 -27.59258199922481 0),764,InfestTreat,28/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
765,POINT Z (153.465137 -27.634171999224 0),765,InfestTreat,28/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
766,POINT Z (153.455917 -27.68365699922309 0),766,InfestTreat,29/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
767,POINT Z (153.4561130000001 -27.68069199922312 0),767,InfestTreat,29/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
768,POINT Z (153.4531380000001 -27.69962799922277 0),768,InfestTreat,29/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
769,POINT Z (153.4634030000001 -27.63706199922398 0),769,InfestTreat,29/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
770,POINT Z (153.4527870000001 -27.38904299922867 0),770,InfestTreat,30/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
771,POINT Z (153.4631730000001 -27.63664399922397 0),771,InfestTreat,29/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
772,POINT Z (153.4633260000001 -27.63517199922403 0),772,InfestTreat,29/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
773,POINT Z (153.5073150000001 -27.421790999228 0),773,InfestTreat,30/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
774,POINT Z (153.466362 -27.3999809992284 0),774,InfestTreat,30/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
775,POINT Z (153.451905 -27.38970099922864 0),775,InfestTreat,30/10/2014,Bitou bush,2014-10,2014 - 2015,<Null>,July14_Dec14
776,POINT Z (153.506465 -27.50820299922637 0),776,InfestTreat,7/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
777,POINT Z (153.467432 -27.62555699922421 0),777,InfestTreat,8/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
778,POINT Z (153.451592 -27.38967499922864 0),778,InfestTreat,9/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
779,POINT Z (153.456132 -27.68069199922313 0),779,InfestTreat,9/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
780,POINT Z (153.456265 -27.6824679992231 0),780,InfestTreat,9/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
781,POINT Z (153.456173 -27.68384699922311 0),781,InfestTreat,9/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
782,POINT Z (153.4514280000001 -27.71237499922256 0),782,InfestTreat,9/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
783,POINT Z (153.4522020000001 -27.71691799922245 0),783,InfestTreat,9/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
784,POINT Z (153.4512530000001 -27.72042299922239 0),784,InfestTreat,9/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
785,POINT Z (153.4586360000001 -27.66476399922345 0),785,InfestTreat,8/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
786,POINT Z (153.4585490000001 -27.66486599922342 0),786,InfestTreat,8/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
787,POINT Z (153.456173 -27.68382199922307 0),787,InfestTreat,9/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
788,POINT Z (153.416507 -27.23914699923151 0),788,InfestTreat,27/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
789,POINT Z (153.4245870000001 -27.30014499923033 0),789,InfestTreat,28/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
790,POINT Z (153.4251230000001 -27.30357499923024 0),790,InfestTreat,28/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
791,POINT Z (153.3698420000001 -27.09072299923431 0),791,InfestTreat,29/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
792,POINT Z (153.365885 -27.05919999923493 0),792,InfestTreat,29/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
793,POINT Z (153.440243 -27.7734919992214 0),793,InfestTreat,4/06/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
794,POINT Z (153.435965 -27.78799799922112 0),794,InfestTreat,5/06/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
795,POINT Z (153.417235 -27.24722199923131 0),795,InfestTreat,27/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
796,POINT Z (153.4172450000001 -27.24703499923133 0),796,InfestTreat,27/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
797,POINT Z (153.4172420000001 -27.24700699923135 0),797,InfestTreat,27/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
798,POINT Z (153.4169020000001 -27.23962199923148 0),798,InfestTreat,27/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
799,POINT Z (153.4335950000001 -27.32105799922993 0),799,InfestTreat,28/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
800,POINT Z (153.437808 -27.32651299922982 0),800,InfestTreat,28/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
801,POINT Z (153.3677200000001 -27.07769999923459 0),801,InfestTreat,29/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
802,POINT Z (153.419578 -27.35803499922921 0),802,InfestTreat,30/05/2013,Bitou bush,,2012 - 2013,<Null>,Jan13_Jun13
803,POINT Z (153.5058130000001 -28.15381499921442 0),803,InfestTreat,1/08/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
804,POINT Z (153.509637 -28.15717199921436 0),804,InfestTreat,1/08/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
805,POINT Z (153.5106470000001 -28.15808499921431 0),805,InfestTreat,1/08/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
806,POINT Z (153.510715 -28.15810799921431 0),806,InfestTreat,1/08/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
807,POINT Z (153.5128530000001 -28.15953499921432 0),807,InfestTreat,1/08/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
808,POINT Z (153.512643 -28.15963799921429 0),808,InfestTreat,1/08/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
809,POINT Z (153.512777 -28.15965199921432 0),809,InfestTreat,1/08/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
810,POINT Z (153.5133830000001 -28.1599199992143 0),810,InfestTreat,1/08/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
811,POINT Z (153.3647120000001 -27.12806299923362 0),811,InfestTreat,25/11/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
812,POINT Z (153.4381470000001 -27.32803499922981 0),812,InfestTreat,27/11/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
813,POINT Z (153.437813 -27.32640799922985 0),813,InfestTreat,27/11/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
814,POINT Z (153.416872 -27.2396399992315 0),814,InfestTreat,28/11/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
815,POINT Z (153.4485080000001 -27.72729499922224 0),815,InfestTreat,9/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
816,POINT Z (153.449017 -27.72779799922229 0),816,InfestTreat,9/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
817,POINT Z (153.4572330000001 -27.66869799922339 0),817,InfestTreat,9/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
818,POINT Z (153.457347 -27.6731369992233 0),818,InfestTreat,9/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
819,POINT Z (153.481938 -27.57363999922519 0),819,InfestTreat,10/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
